nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,no,kecamatan,kelurahan
"Bakmi Jowo & Nasi Goreng ""Kang Gepeng""","Jl. Banjarsari Selatan No.51-55, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50268",Tutup permanen,4.6,5,7.0,Tutup permanen,,-7.0627043,110.435862,Tutup permanen,101,Tembalang,Bulusan
Bakmi & Nasgor Mas Hendrik,"Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Tutup permanen,5.0,5,1.0,Tutup permanen,,-7.0608614,110.4453777,0823-2418-2407,102,Tembalang,Bulusan
Nasi Goreng & Bakmi Jawa Manggala,"Jl. Bukit Bougenvil Raya No.8, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran,5.0,5,1.0,Rabu 07.00–00.48  | Kamis 07.00–00.48  | Jumat 07.00–00.48  | Sabtu 07.00–00.48  | Minggu 07.00–00.48  | Senin 07.00–00.48  | Selasa 07.00–00.48,,-7.0443051,110.474609,0852-2018-0662,104,Tembalang,Sendangmulyo
Bakmi Djowo 14,"Jl. Sendang Dahlia No.10, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran,4.9,5,,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 10.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00,,-7.0157538,110.4632604,0895-3279-86605,105,Tembalang,Sendangguwo
"Bakmi Jawa ""Mbah No""","Jl. Mulawarman Sel. II No.15, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran Mie,5.0,5,,Tidak ada info jam buka,,-7.0699334,110.439127,,106,Tembalang,Kramas
Bakmi & Nasi goreng Pak Ndut Sendangguwo,"XFM4+76V, Jl. Sendangguwo Selatan Baru II, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran,4.0,5,7.0,Rabu Buka 24 jam  | Kamis Buka 24 jam  | Jumat Buka 24 jam  | Sabtu Buka 24 jam  | Minggu Buka 24 jam  | Senin Buka 24 jam  | Selasa Buka 24 jam,,-7.016775,110.4555411,0878-2735-5940,109,Tembalang,Sendangguwo
Bakmi Jawa Mas Aris (Solo),"XF89+J2V, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,,Rabu 06.00–23.00  | Kamis 06.00–23.00  | Jumat 06.00–23.00  | Sabtu 06.00–23.00  | Minggu 06.00–23.00  | Senin 06.00–23.00  | Selasa 06.00–23.00,,-7.0333811,110.4675417,0819-1233-1106,113,Tembalang,Sendangmulyo
Pondok bakmi pak is,"Jl. Gendong Raya No.126, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran,5.0,5,6.0,Tidak ada info jam buka,Rp 1–25.000,-7.0376628,110.4682639,0858-0350-9367,116,Tembalang,Sendangmulyo
Nasgor dan bakmi Jawa sidodadi,"XFP2+H65, Jl. Kedungmundu, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Rumah Makan,5.0,5,,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00,,-7.013611,110.4505969,0877-7929-0995,118,Tembalang,Sendangguwo
Nagoya Ramen & Sushi,"Jl. KH. Sirojudin No.22A, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Jepang,4.2,5,411.0,Rabu 09.00–21.00  | Kamis 09.00–21.00  | Jumat 09.00–21.00  | Sabtu 09.00–21.00  | Minggu 09.00–21.00  | Senin 09.00–21.00  | Selasa 09.00–21.00,Rp 1–25.000,-7.0571796,110.435635,0815-1602-220,121,Tembalang,Tembalang
RAMENDOMI TEMBALANG,"Jl. Mulawarman Tim. Dalam No.78, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Toko Makanan Jepang,4.7,5,21.0,Rabu 15.00–23.00  | Kamis 15.00–23.00  | Jumat 15.00–23.00  | Sabtu 15.00–23.00  | Minggu 15.00–23.00  | Senin 15.00–23.00  | Selasa 15.00–23.00,Rp 1–25.000,-7.0687805,110.4442019,0822-2598-2098,122,Tembalang,Bulusan
Mizu Ramen,"Jl. Timoho Raya, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,5.0,5,14.0,Rabu 15.00–21.00  | Kamis 15.00–21.00  | Jumat 15.00–21.00  | Sabtu 15.00–21.00  | Minggu 15.00–21.00  | Senin 15.00–21.00  | Selasa 15.00–21.00,Rp 1–25.000,-7.0601939,110.4425671,0813-9190-9666,123,Tembalang,Bulusan
Joffi Ramen Sambiroto,"Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah",Restoran Ramen,4.8,5,499.0,Kamis 10.00–22.00 | Jumat 10.00–22.00 | Sabtu 10.00–22.00 | Minggu 10.00–22.00 | Senin 10.00–22.00 | Selasa 10.00–22.00 | Rabu 10.00–22.00,Rp 25.000–50.000,-7.0294678,110.4589629,,125,Tembalang,Sambiroto
Pak MOE Katsu dan Mie Ramen,"Jl. Klipang Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran,5.0,5,3.0,Rabu 15.30–21.00  | Kamis 15.30–21.00  | Jumat 15.30–21.00  | Sabtu 15.30–21.00  | Minggu Tutup  | Senin 15.30–21.00  | Selasa 15.30–21.00,,-7.0376688,110.4791277,0812-2509-7097,129,Tembalang,Sendangmulyo
"Takoyaki Pekoo Pekoo, Unimus","Jl. Fatmawati No.177, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50246",Restoran Jepang,5.0,5,54.0,Rabu 14.30–22.15  | Kamis 14.30–22.15  | Jumat 14.30–22.15  | Sabtu 14.30–22.15  | Minggu 14.30–22.15  | Senin 14.30–22.15  | Selasa 14.30–22.15,Rp 25.000–50.000,-7.0236276,110.4683509,0895-2706-0066,130,Tembalang,Kedungmundu
Warung Katsu J-pan,"Jl. Banjarsari No.29, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Jepang,4.7,5,21.0,Rabu 10.00–19.30  | Kamis 10.00–19.30  | Jumat 10.00–19.30  | Sabtu 10.00–19.30  | Minggu Tutup  | Senin 10.00–19.30  | Selasa 10.00–19.30,Rp 1–25.000,-7.0597621,110.4385803,,132,Tembalang,Tembalang
Warung Wasabi,"Jalan Tirto Agung No. 77 Pedalangan Tembalang, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Jepang,4.4,5,2756.0,Tutup sementara,Rp 25.000–50.000,-7.0602844,110.4275742,0818-240-538,136,Banyumanik,Pedalangan
Yuyake Ramen Ketileng,"Jl. Ketileng Raya No.15, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Jepang,5.0,5,14.0,Tutup sementara,Rp 1–25.000,-7.0285646,110.4680572,0895-1310-0724,137,Tembalang,Sendangmulyo
kedai raisu tembalang,"perum aldi griya permai Jl. Bulusan Sel. No.27, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Jepang,5.0,5,11.0,Rabu 09.00–21.00  | Kamis Tutup  | Jumat 09.00–21.00  | Sabtu 09.00–21.00  | Minggu 09.00–21.00  | Senin 09.00–21.00  | Selasa 09.00–21.00,,-7.0638349,110.4475083,0821-3524-8687,142,Tembalang,Bulusan
Tower Cafe Semarang,"Jl. Banjarsari Selatan No.49B, Tembalang, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Asia,4.4,5,2470.0,Rabu 10.00–23.15  | Kamis 10.00–23.15  | Jumat 10.00–23.15  | Sabtu 10.00–23.15  | Minggu 10.00–23.15  | Senin 10.00–23.15  | Selasa 10.00–23.15,Rp 25.000–50.000,-7.0634046,110.4368014,0812-2780-5578,144,Banyumanik,Tembalang
RYORI JAPANESE FOOD,"XFM9+7R5, Jl. Pandan Wangi Raya, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran,5.0,5,5.0,Rabu 10.00–22.00  | Kamis 10.00–22.00  | Jumat 10.00–17.00  | Sabtu 10.00–22.00  | Minggu 10.00–22.00  | Senin 10.00–22.00  | Selasa 10.00–22.00,,-7.0168647,110.4696245,0895-4225-74182,145,Tembalang,Kedungmundu
Mie Ramen 77,"WCQW+M56, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Tutup permanen,5.0,5,4.0,Tutup permanen,,-7.0608455,110.4453768,0877-2603-3667,146,Tembalang,Bulusan
