nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,no,kecamatan,kelurahan
BAKMI JOWO GM GAJAH MAKMUR,"Jl. Gayamsari Selatan I No.47, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50248",Restoran,4.9,5,30.0,Rabu 10.00–02.00  | Kamis 10.00–02.00  | Jumat 10.00–02.00  | Sabtu 10.00–02.00  | Minggu 10.00–02.00  | Senin 10.00–02.00  | Selasa 10.00–02.00,Rp 1–25.000,-7.0073053,110.4488455,0823-2276-4326,19,Tembalang,Sendangguwo
PONDOK Bakmi Surabaya Cak DUL,"WFV7+478, Jl. Profesor Suharso, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Warung Makanan Kecil,3.9,5,14.0,Rabu 16.00–23.00  | Kamis 16.00–23.00  | Jumat 16.00–23.00  | Sabtu 16.00–23.00  | Minggu 16.00–23.00  | Senin 16.00–23.00  | Selasa 16.00–23.00,,-7.0572049,110.4631895,0813-2515-7257,23,Tembalang,Meteseh
"Bakmi Surabaya ""cak Pri""","Blok D No, Jl. Klipang Raya Blk. G No.6, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.1,5,82.0,Rabu 16.00–23.30  | Kamis 16.00–23.30  | Jumat 16.00–23.30  | Sabtu 16.00–23.30  | Minggu 16.00–23.30  | Senin 16.00–23.30  | Selasa 16.00–23.30,Rp 1–25.000,-7.0411434,110.4792524,0813-2559-2036,26,Tembalang,Sendangmulyo
Bakmi Kongsian,"Ruko AD, Ruko, Jl. Bukit Kencana Jaya Jl. Boulevard No.25, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Rumah Makan,4.8,5,20.0,Tidak ada info jam buka,Rp 1–25.000,-7.0653515,110.4610172,,28,Tembalang,Meteseh
Bakmie Jowo Mas Jenggot,"Jl. Klipang Raya No.26, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.3,5,27.0,Tidak ada info jam buka,Rp 1–25.000,-7.0372521,110.474049,,30,Tembalang,Sendangmulyo
Bakmi Jowo Pak Brewok,"Jl. Klipang Raya Permai Blok G23, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.8,5,77.0,Rabu 17.00–23.00  | Kamis 17.00–23.00  | Jumat 17.00–23.00  | Sabtu 17.00–23.00  | Minggu 17.00–23.00  | Senin 17.00–23.00  | Selasa 17.00–23.00,Rp 1–25.000,-7.0427822,110.4791285,0821-3485-7772,33,Tembalang,Sendangmulyo
Bakmi Surabaya,"Jalan Rowosari Raya, Jl. Talang Jl. Baskoro Raya, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,3.8,5,10.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.0580499,110.4710327,0813-2669-4979,35,Tembalang,Meteseh
"BAKMI SUROBOYO MAS NDUT (YUDI),METESEH","Jl. Raya Sendangmulyo, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.3,5,8.0,Rabu 17.30–23.00  | Kamis 17.30–23.00  | Jumat 17.30–23.00  | Sabtu 17.30–23.00  | Minggu 17.30–23.00  | Senin 17.30–23.00  | Selasa 17.30–23.00,,-7.0528544,110.4714665,0878-3106-0032,37,Tembalang,Meteseh
BAKMIE SURABAYA CAK BAGUS GROUP,"WFVC+7CQ, Jl. Raya Sendangmulyo, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.4,5,13.0,Tidak ada info jam buka,Rp 1–25.000,-7.0567754,110.4711082,0821-3331-2021,38,Tembalang,Meteseh
Pondok Bakmi Bu Tarno,"XFG5+P9F, Jalan Jl. Kedungmundu, Kedungmundu, Tembalang, Semarang City, Central Java 50273",Kafe,4.4,5,97.0,Rabu 18.00–00.00  | Kamis 18.00–00.00  | Jumat 18.00–00.00  | Sabtu 18.00–00.00  | Minggu 18.00–00.00  | Senin 18.00–00.00  | Selasa 18.00–00.00,Rp 1–25.000,-7.023199,110.4584241,085287830644,44,Tembalang,Kedungmundu
