nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,website,kategori
"Bakmi Surabaya ""cak Pri""","Blok D No, Jl. Klipang Raya Blk. G No.6, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.1,5,82.0,Rabu 16.00–23.30  | Kamis 16.00–23.30  | Jumat 16.00–23.30  | Sabtu 16.00–23.30  | Minggu 16.00–23.30  | Senin 16.00–23.30  | Selasa 16.00–23.30 ,Rp 1–25.000,-7.0411434,110.4792524,0813-2559-2036,,bakmi
Pondok Nasi Goreng dan Mie,"Jl. Gondang Tim. V No.37, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50175",Restoran Nasi Goreng,4.7,5,224.0,Rabu 16.30–23.00  | Kamis 16.30–23.00  | Jumat 16.30–23.00  | Sabtu 16.30–23.00  | Minggu Buka 24 jam  | Senin 16.30–23.00  | Selasa 16.30–23.00 ,Rp 1–25.000,-7.0653904,110.4425064,0815-4253-8324,,bakmi
Bakmi Kongsian,"Ruko AD, Ruko, Jl. Bukit Kencana Jaya Jl. Boulevard No.25, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Rumah Makan,4.8,5,20.0,,Rp 1–25.000,-7.0653515,110.4610172,,,bakmi
Mie Goceng Semarang,"WCPP+VC5, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Mie,3.9,5,77.0,Rabu 10.00–23.00  | Kamis 10.00–23.00  | Jumat 10.00–23.00  | Sabtu 10.00–23.00  | Minggu 10.00–23.00  | Senin 10.00–23.00  | Selasa 10.00–23.00 ,Rp 1–25.000,-7.0627908,110.4360712,0822-7905-0089,,bakmi
Bakmie Jowo Mas Jenggot,"Jl. Klipang Raya No.26, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.3,5,27.0,,Rp 1–25.000,-7.0372521,110.474049,,,bakmi
BAKMI JOWO GM GAJAH MAKMUR,"Jl. Gayamsari Selatan I No.47, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50248",Restoran,4.9,5,30.0,Rabu 10.00–02.00  | Kamis 10.00–02.00  | Jumat 10.00–02.00  | Sabtu 10.00–02.00  | Minggu 10.00–02.00  | Senin 10.00–02.00  | Selasa 10.00–02.00 ,Rp 1–25.000,-7.0073053,110.4488455,0823-2276-4326,,bakmi
Raja Murah (Penyet & Mie Jawa),"Jl. Kedungwinong I No.3, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.7,5,33.0,Rabu Buka 24 jam  | Kamis Buka 24 jam  | Jumat Buka 24 jam  | Sabtu Buka 24 jam  | Minggu Buka 24 jam  | Senin Buka 24 jam  | Selasa Buka 24 jam ,,-7.0601301,110.4627605,0812-2556-8528,,bakmi
Bakmi Jowo Pak Brewok,"Jl. Klipang Raya Permai Blok G23, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.8,5,77.0,Rabu 17.00–23.00  | Kamis 17.00–23.00  | Jumat 17.00–23.00  | Sabtu 17.00–23.00  | Minggu 17.00–23.00  | Senin 17.00–23.00  | Selasa 17.00–23.00 ,Rp 1–25.000,-7.0427822,110.4791285,0821-3485-7772,,bakmi
Mie Ayam dan Bakso Mas Gondrong,"Jalan Timoho Raya 1Tembalang, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Bakso,4.6,5,373.0,Rabu 11.00–22.00  | Kamis 11.00–22.00  | Jumat 11.00–22.00  | Sabtu 11.00–22.00  | Minggu 11.00–22.00  | Senin 11.00–22.00  | Selasa 11.00–22.00 ,Rp 1–25.000,-7.0607539,110.4440329,0821-3844-0323,,bakmi
Bakmi Surabaya,"Jalan Rowosari Raya, Jl. Talang Jl. Baskoro Raya, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,3.8,5,10.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0580499,110.4710327,0813-2669-4979,,bakmi
