nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,website,kategori
Mie Ayam 99 Fatmawati,"Jl. Fatmawati No.163, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.5,5,254.0,Rabu 09.30–20.00  | Kamis 09.30–20.00  | Jumat 09.30–20.00  | Sabtu 09.30–20.00  | Minggu Tutup  | Senin 09.30–20.00  | Selasa 09.30–20.00 ,Rp 1–25.000,-7.0228379,110.4687673,0878-8899-9065,,bakmi
Bakmi jowo pak wito,"Jl. Klipang Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Asia,3.9,5,16.0,Rabu 17.00–01.00  | Kamis 17.00–01.00  | Jumat 17.00–01.00  | Sabtu 17.00–01.00  | Minggu 17.00–01.00  | Senin 17.00–01.00  | Selasa 17.00–01.00 ,,-7.0377394,110.4766588,0851-0010-6508,,bakmi
Bakmi Jowo Mas Jon,"XF2H+RJR, Bundaran Simpang 4 Jl. Klipang, Sendangmulyo, Tembalang, Semarang City, Central Java 50272",Restoran Mie,4.4,5,5.0,Rabu 17.00–23.00  | Kamis 17.00–23.00  | Jumat 17.00–23.00  | Sabtu 17.00–23.00  | Minggu 17.00–23.00  | Senin 17.00–23.00  | Selasa 17.00–23.00 ,Rp 1–25.000,-7.0478897,110.4790064,,,bakmi
Bakmi Nyemek Keluarga,"Perum Jl. Wanamukti No.16 Blok E4, Sambiroto, Tembalang, Semarang City, Central Java 50276",Restoran Mie,4.1,5,9.0,Rabu 10.00–22.00  | Kamis 10.00–22.00  | Jumat 10.00–22.00  | Sabtu 10.00–22.00  | Minggu 10.00–22.00  | Senin 10.00–22.00  | Selasa 10.00–22.00 ,,-7.0307018,110.4614157,0858-7066-7204,,bakmi
Mie Aceh Jambo aye,"Jl. Bukit Elang C No.03, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,52.0,,Rp 25.000–50.000,-7.0413376,110.4639478,0897-9242-382,,bakmi
Bakmi Jowo Pak Waris 2,"XFC9+W3W, Jl. Ketileng Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.3,5,14.0,Rabu 16.00–00.00  | Kamis 16.00–00.00  | Jumat 16.00–00.00  | Sabtu 16.00–00.00  | Minggu 16.00–00.00  | Senin 16.00–00.00  | Selasa 16.00–00.00 ,Rp 1–25.000,-7.027648,110.467695,0858-7550-5366,,bakmi
Nasi Goreng & Bakmi Jawa (Graha Metro),"Graha Metro No.12B Blk B, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran,4.0,5,24.0,Rabu 15.00–00.00  | Kamis 15.00–00.00  | Jumat 15.00–00.00  | Sabtu 15.00–00.00  | Minggu 15.00–00.00  | Senin 15.00–00.00  | Selasa 15.00–00.00 ,Rp 1–25.000,-7.0594698,110.4768222,0856-4334-8465,,bakmi
Bakmi Jowo Solo,"Jl. Tulus Harapan No.4 Blk C, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",,5.0,5,1.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0354066,110.4690581,0856-2751-314,,bakmi
"BAKSO & MIE AYAM ""PREMIER"" UNDIP","Jl. Prof. Soedarto No.16, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Bakso,4.3,5,76.0,Rabu 10.00–22.30  | Kamis 10.00–22.30  | Jumat 10.00–22.30  | Sabtu 10.00–22.30  | Minggu 10.00–22.30  | Senin 10.00–22.30  | Selasa 10.00–22.30 ,Rp 1–25.000,-7.0558777,110.4378231,0812-5954-9071,,bakmi
Bakmi Jowo Sederhana,"Jl. Tegal Kangkung 14 No.224, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.3,5,4.0,Rabu 18.00–00.00  | Kamis 18.00–00.00  | Jumat 18.00–00.00  | Sabtu 18.00–00.00  | Minggu 18.00–00.00  | Senin 18.00–00.00  | Selasa 18.00–00.00 ,,-7.0232436,110.4689316,,,bakmi
Bakmi Jowo Pak Harno,"WFQ7+R2R, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.2,5,5.0,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00 ,Rp 1–25.000,-7.0603807,110.4625198,,,bakmi
Bakmi surabaya mas gondrong,"Klipang blok R 7 No.7, RT.05/RW.06, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",,4.5,5,8.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0457934,110.480462,0813-2622-3276,,bakmi
"Bakmi Suroboyo,cak Kumis_Gg.Nirwanasari 1/24,Tembalang,kota Semarang,Jawa Tengah 50275","WCQQ+M8C, Gg. Nirwana Sari I, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran,3.4,5,,Rabu 03.20–12.15  | Kamis 03.20–12.15  | Jumat 03.20–12.15  | Sabtu 03.20–12.15  | Minggu 03.20–12.15  | Senin 03.20–12.15  | Selasa 03.20–12.15 ,,-7.0608144,110.4382649,0857-2717-0046,,bakmi
Bakmi Jowo mas Karyo,"XF99+X3F, Jl. Wanamukti, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,5.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,Rp 1–25.000,-7.0300511,110.4676651,,,bakmi
Kedai Mie Aceh Pidie 2018,"Jl. Dinar Elok Raya No.9 Blok B, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.7,5,214.0,Rabu 11.00–23.00  | Kamis 11.00–23.00  | Jumat Tutup  | Sabtu 11.00–23.00  | Minggu 11.00–23.00  | Senin 11.00–23.00  | Selasa 11.00–23.00 ,Rp 1–25.000,-7.0602497,110.4692322,0821-3877-8133,,bakmi
Bakmi Jowo Pak No,"XFG6+25P, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,3.8,5,4.0,Rabu 04.00–01.00  | Kamis 04.00–01.00  | Jumat 04.00–01.00  | Sabtu 04.00–01.00  | Minggu 04.00–01.00  | Senin 04.00–01.00  | Selasa 04.00–01.00 ,,-7.0249203,110.4604521,0857-9916-0449,,bakmi
Mie Kopyok dan Mie Ayam Seger Pak Tris,"WFV7+38W, Jl. Profesor Suharso, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Mie,4.4,5,227.0,Rabu 09.00–19.30  | Kamis 09.00–19.30  | Jumat 09.00–19.30  | Sabtu Tutup  | Minggu 09.00–19.30  | Senin 09.00–19.30  | Selasa 09.00–19.30 ,Rp 1–25.000,-7.0572633,110.463325,0815-7558-0579,,bakmi
Bakmi Jowo Pak triss,"XFQ3+RXP, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Keluarga,5.0,5,2.0,Rabu 17.30–00.00  | Kamis 17.30–00.00  | Jumat 17.30–00.00  | Sabtu 17.30–00.00  | Minggu 17.30–00.00  | Senin 17.30–00.00  | Selasa 17.30–00.00 ,,-7.0103726,110.4549305,0812-2518-0163,,bakmi
"Mie Ayam & Bakso Barokah pak ndut""Wong Wonogiri""","Jl. Raya Mangun Harjo, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.7,5,108.0,Rabu 11.00–21.00  | Kamis Tutup  | Jumat 12.30–21.00  | Sabtu 11.00–21.00  | Minggu 11.30–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,Rp 1–25.000,-7.0440841,110.4607983,0819-0978-3837,,bakmi
Warung TUMAN - Nasi Goreng & Bakmi Tuman,"Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Nasi Goreng,5.0,5,12.0,Rabu 17.00–22.00  | Kamis 17.00–22.00  | Jumat 17.00–22.00  | Sabtu 17.00–22.00  | Minggu 17.00–22.00  | Senin 17.00–22.00  | Selasa 17.00–22.00 ,,-7.0532611,110.4776654,,,bakmi
Bakmi Jowo Pak Sis - Meteseh,"Jl. Bukit Klp. Gading I No.32, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,5.0,5,1.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0657509,110.4598198,0822-2096-6500,,bakmi
Pondok Bakmi Jowo Siper,"Jl. kd.mundu No.12, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran,4.7,5,3.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0222396,110.4575887,0896-3533-3539,,bakmi
"Bakmi Jowo ""RiLEX"" Nasi Goreng","Jalan Kedung Mundu Raya No.23B, Sambiroto, Tembalang, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Nasi Goreng,4.4,5,21.0,Rabu 19.00–21.00  | Kamis 19.00–21.00  | Jumat 19.00–21.00  | Sabtu 19.00–21.00  | Minggu 19.00–21.00  | Senin 19.00–21.00  | Selasa 19.00–21.00 ,,-7.0185164,110.4557624,,,bakmi
Mie Ayam & Bakso (Mibuli) Pak Rudi,"Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran Mie,4.9,5,32.0,Rabu 11.30–21.00  | Kamis 11.30–21.00  | Jumat 11.30–21.00  | Sabtu 11.30–21.00  | Minggu 11.30–21.00  | Senin 11.30–21.00  | Selasa 11.30–21.00 ,Rp 1–25.000,-7.0675213,110.4390495,,,bakmi
Pondok Bakmi Surabaya Cakdul Meteseh,"WFQ6+JWG, WFV7+46GJl. Bukit Kencana, JayaMeteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",,5.0,5,2.0,,,-7.0609342,110.462336,,,bakmi
Bakmi dan Nasi Goreng Pak Har,"WCMP+5WR, Jl. Mulawarman Raya, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran,5.0,5,2.0,Rabu 18.00–23.00  | Kamis 18.00–23.00  | Jumat 18.00–23.00  | Sabtu 18.00–23.00  | Minggu 18.00–23.00  | Senin 18.00–23.00  | Selasa 18.00–23.00 ,,-7.0670027,110.4372537,,,bakmi
Mie Ayam Cakar Dan Bakso Dosis,"Jalan Sigar Bencah, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Bakso,4.1,5,402.0,Rabu 09.30–21.30  | Kamis 09.30–21.30  | Jumat 09.30–21.30  | Sabtu 09.30–21.30  | Minggu 09.30–21.30  | Senin 09.30–21.30  | Selasa 09.30–21.30 ,Rp 1–25.000,-7.0575114,110.4625345,0856-4009-0771,,bakmi
Bakso & Mie Ayam PRASOJO,"Jalan Imam Suprapto, Bulusan, Tembalang, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran cepat saji,4.4,5,393.0,Rabu 09.30–22.00  | Kamis 09.30–22.00  | Jumat 09.30–22.00  | Sabtu 09.30–22.00  | Minggu 09.30–22.00  | Senin 09.30–22.00  | Selasa 09.30–22.00 ,Rp 1–25.000,-7.0572757,110.4628807,0857-5114-4105,,bakmi
Bakmi Jowo mas Karyo,"XF99+X3F, Jl. Wanamukti, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,5.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,Rp 1–25.000,-7.0300511,110.4676651,,,bakmi
"Bakmi Jowo ""RiLEX"" Nasi Goreng","Jalan Kedung Mundu Raya No.23B, Sambiroto, Tembalang, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Nasi Goreng,4.4,5,21.0,Rabu 19.00–21.00  | Kamis 19.00–21.00  | Jumat 19.00–21.00  | Sabtu 19.00–21.00  | Minggu 19.00–21.00  | Senin 19.00–21.00  | Selasa 19.00–21.00 ,,-7.0185164,110.4557624,,,bakmi
Warung Bakmi Dan Nasi Goreng Mas MR,"WCPV+66W, Jl. Gondang Timur IV, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran cepat saji,4.8,5,5.0,,Rp 1–25.000,-7.0643802,110.4430825,0857-2870-8081,,bakmi
BAKMI DD,"Jl. Gondang Raya No.16, RT.3/RW.1, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Rumah Makan,5.0,5,8.0,Rabu 10.00–23.00  | Kamis 10.00–23.00  | Jumat 10.00–23.00  | Sabtu 10.00–23.00  | Minggu 10.00–23.00  | Senin 10.00–23.00  | Selasa 10.00–23.00 ,,-7.0617403,110.441422,0857-1260-0393,,bakmi
Kedai Tinari,"Jl. Sawunggaling III No.44, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran,4.9,5,2558.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,Rp 25.000–50.000,-7.0694211,110.4324329,,,bakmi
Bakmi jowo seger,"XFP2+M5R, Jl. Kedungmundu, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Disimpan,5.0,5,1.0,Rabu 17.00–01.00  | Kamis 17.00–01.00  | Jumat 17.00–01.00  | Sabtu 17.00–01.00  | Minggu 17.00–01.00  | Senin 17.00–01.00  | Selasa 17.00–01.00 ,,-7.0132647,110.4503938,,,bakmi
"Mie Ayam & Bakso Barokah pak ndut""Wong Wonogiri""","Jl. Raya Mangun Harjo, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.7,5,108.0,Rabu 11.00–21.00  | Kamis Tutup  | Jumat 12.30–21.00  | Sabtu 11.00–21.00  | Minggu 11.30–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,Rp 1–25.000,-7.0440841,110.4607983,0819-0978-3837,,bakmi
Mie Ayam Bang As'ad Tirto Agung Tembalang,"Jl. Tirto Agung No.62, Pedalangan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Kedai Sarapan & Makan Siang,4.6,5,5.0,Rabu 11.00–20.00  | Kamis 11.00–20.00  | Jumat 11.00–20.00  | Sabtu 11.00–20.00  | Minggu 11.30–19.30  | Senin Tutup  | Selasa 11.30–19.30 ,,-7.0597057,110.4272561,0813-5723-6966,,bakmi
Nasi Goreng dan Bakmi Jowo Doa Ibu,"Jl. Sambiroto Raya No.82-80, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Nasi Goreng,4.7,5,6.0,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00 ,,-7.0272921,110.4592809,0823-3783-7795,,bakmi
Mie Ayam & Bakso (Mibuli) Pak Rudi,"Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran Mie,4.9,5,32.0,Rabu 11.30–21.00  | Kamis 11.30–21.00  | Jumat 11.30–21.00  | Sabtu 11.30–21.00  | Minggu 11.30–21.00  | Senin 11.30–21.00  | Selasa 11.30–21.00 ,Rp 1–25.000,-7.0675213,110.4390495,,,bakmi
Mie Ayam 19,"Jl. Klipang Raya Blk. OI No.12, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.9,5,59.0,Rabu 12.00–20.00  | Kamis 12.00–20.00  | Jumat 12.00–20.00  | Sabtu 12.00–20.00  | Minggu Tutup  | Senin 12.00–20.00  | Selasa 12.00–20.00 ,Rp 1–25.000,-7.0444584,110.4790194,,,bakmi
Warung Bakmi Jowo Mas Tri,"Jl. Gondang Raya No.5, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",,5.0,5,2.0,,,-7.0611076,110.4418391,,,bakmi
"Mie Ayam & Bakso ""Sadam""","Jl. Fatmawati No.258D, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Indonesia,4.1,5,294.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu 10.00–21.00  | Senin 10.00–21.00  | Selasa 10.00–21.00 ,Rp 1–25.000,-7.0246298,110.4684114,,,bakmi
Mie Ayam Bakso Tunggal Rasa,"Jl. Fatmawati Jl. Tegal Kangkung X No.118, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50192",Restoran Bakso,4.6,5,465.0,Rabu 12.00–21.00  | Kamis 12.00–21.00  | Jumat 12.00–21.00  | Sabtu 12.00–21.00  | Minggu 12.00–21.00  | Senin 12.00–21.00  | Selasa 12.00–21.00 ,Rp 1–25.000,-7.023252,110.4687832,0813-3357-5783,,bakmi
Bakso Daging Sapi & Mie Ayam Bang Satrio,"Jl. Sambiroto Raya No.85, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.4,5,623.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu 10.00–21.00  | Senin 10.00–21.00  | Selasa 10.00–21.00 ,Rp 25.000–50.000,-7.0277305,110.4595246,0857-2597-8377,,bakmi
Bakso Dan Mie Ayam Sadam,"XF4F+GXG, Jl. Bukit Bougenvile Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Disimpan,4.4,5,1141.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu 10.00–21.00  | Senin 10.00–21.00  | Selasa 10.00–21.00 ,Rp 1–25.000,-7.0436772,110.4749614,,,bakmi
"Bakmi Jowo & Nasi Goreng ""Kang Gepeng""","Jl. Banjarsari Selatan No.51-55, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50268",,4.6,5,7.0,,,-7.0627043,110.435862,,,bakmi
Bakmi & Nasgor Mas Hendrik,"Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",,5.0,5,1.0,,,-7.0608614,110.4453777,0823-2418-2407,,bakmi
Mie Ayam Bakso Bu Rini Sirojudin,"Jl. KH. Sirojudin No.25, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Bakso,4.5,5,33.0,Rabu 10.30–22.00  | Kamis 10.30–22.00  | Jumat 10.30–22.00  | Sabtu 10.30–22.00  | Minggu 10.30–22.00  | Senin 10.30–22.00  | Selasa 10.30–22.00 ,Rp 1–25.000,-7.0575124,110.4353085,,,bakmi
Nasi Goreng & Bakmi Jawa Manggala,"Jl. Bukit Bougenvil Raya No.8, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran,5.0,5,1.0,Rabu 07.00–00.48  | Kamis 07.00–00.48  | Jumat 07.00–00.48  | Sabtu 07.00–00.48  | Minggu 07.00–00.48  | Senin 07.00–00.48  | Selasa 07.00–00.48 ,,-7.0443051,110.474609,0852-2018-0662,,bakmi
Bakmi Djowo 14,"Jl. Sendang Dahlia No.10, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran,4.9,5,,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 10.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,,-7.0157538,110.4632604,0895-3279-86605,,bakmi
"Bakmi Jawa ""Mbah No""","Jl. Mulawarman Sel. II No.15, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",,5.0,5,,,,-7.0699334,110.439127,,,bakmi
Mie Ayam Ceker bakso urat dan halus tunggal rasa pak gondo,"Jl. Sambiroto Raya No.74, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.6,5,119.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,Rp 1–25.000,-7.02682,110.4593311,0813-2654-6475,,bakmi
Aspro Mie Ayam Wonogiri,"Jl. Gayamsari Selatan Raya No.2, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,5.0,5,35.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,,-7.0074668,110.4499265,0895-3930-90901,,bakmi
Bakmi & Nasi goreng Pak Ndut Sendangguwo,"XFM4+76V, Jl. Sendangguwo Selatan Baru II, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",,4.0,5,7.0,Rabu Buka 24 jam  | Kamis Buka 24 jam  | Jumat Buka 24 jam  | Sabtu Buka 24 jam  | Minggu Buka 24 jam  | Senin Buka 24 jam  | Selasa Buka 24 jam ,,-7.016775,110.4555411,0878-2735-5940,,bakmi
Mie Ayam Mbak Mur,"WFPJ+GH9, Jl Makam Mbah Tego, Rowosari, Kec. Tembalang, Kota Semarang, Jawa Tengah 50279",Restoran Mie,4.6,5,17.0,Rabu 08.59–21.00  | Kamis 08.59–21.00  | Jumat 08.59–21.00  | Sabtu 08.59–21.00  | Minggu 08.59–21.00  | Senin 08.59–21.00  | Selasa 08.59–21.00 ,,-7.0637188,110.4814867,,,bakmi
Bakso Mie Ayam Adiroso Tembalang,"Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Lihat foto,4.0,5,4.0,Rabu 11.00–23.00  | Kamis 11.00–23.00  | Jumat 11.00–23.00  | Sabtu 11.00–23.00  | Minggu 11.00–23.00  | Senin 11.00–23.00  | Selasa 11.00–23.00 ,,-7.0539344,110.4316041,0823-2625-2234,,bakmi
Mie Ayam Bakso Pak Ndut,"Jl. Ngesrep Tim. V No.5, Sumurboto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50269",Restoran Bakso,4.0,5,21.0,Rabu 10.00–22.00  | Kamis 10.00–22.00  | Jumat 10.00–22.00  | Sabtu 10.00–22.00  | Minggu 11.00–21.30  | Senin 10.00–22.00  | Selasa 10.00–22.00 ,Rp 1–25.000,-7.0498649,110.4217628,0821-3439-7139,,bakmi
Bakmi Jawa Mas Aris (Solo),"XF89+J2V, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",,4.6,5,,Rabu 06.00–23.00  | Kamis 06.00–23.00  | Jumat 06.00–23.00  | Sabtu 06.00–23.00  | Minggu 06.00–23.00  | Senin 06.00–23.00  | Selasa 06.00–23.00 ,,-7.0333811,110.4675417,0819-1233-1106,,bakmi
Stay With Mie - Story #1 Sambiroto,"Jl. Sambiroto VII No.15B, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran cepat saji,4.9,5,20.0,,Rp 1–25.000,-7.0285758,110.4604315,0819-1251-0666,,bakmi
Bakso Beranak & Mie Ayam Bang Jarwo,"XF95+XGR, Jalan Sambiroto, Samping Aneka Jaya, Kel Sambiroto Kec Tembalang, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.6,5,155.0,Rabu 09.00–14.23  | Kamis 09.00–14.23  | Jumat 09.00–14.23  | Sabtu 09.00–14.23  | Minggu 09.00–14.23  | Senin 09.00–14.23  | Selasa 09.00–14.23 ,Rp 1–25.000,-7.030014,110.458759,0821-3976-1470,,bakmi
Pondok bakmi pak is,"Jl. Gendong Raya No.126, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran,5.0,5,6.0,,Rp 1–25.000,-7.0376628,110.4682639,0858-0350-9367,,bakmi
Mie Ayam Mulawarman Pak Radi,"WCMP+6WC, Jl. Mulawarman Raya, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran Indonesia,5.0,5,19.0,Rabu 14.00–20.00  | Kamis 14.00–20.00  | Jumat 14.00–20.00  | Sabtu 14.00–20.00  | Minggu 14.00–20.00  | Senin 14.00–20.00  | Selasa 14.00–20.00 ,Rp 1–25.000,-7.0669307,110.4372699,0822-2085-6237,,bakmi
Nasgor dan bakmi Jawa sidodadi,"XFP2+H65, Jl. Kedungmundu, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Rumah Makan,5.0,5,,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00 ,,-7.013611,110.4505969,0877-7929-0995,,bakmi
Nara Ramen Semarang & Waroeng Tokyo,"Jl. Jatimulyo No.12, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268",Restoran Jepang,4.8,5,645.0,Rabu 11.00–23.00  | Kamis 11.00–23.00  | Jumat 11.00–23.00  | Sabtu 11.00–23.00  | Minggu 11.00–23.00  | Senin 11.00–23.00  | Selasa 11.00–23.00 ,Rp 25.000–50.000,-7.0556067,110.4326558,0851-7688-3631,,ramen
Waroeng Tokyo - Tembalang Semarang,"Jl. Banjarsari No.24, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran,4.7,5,350.0,Rabu 09.30–22.00  | Kamis 09.30–22.00  | Jumat 09.30–22.00  | Sabtu 09.30–22.00  | Minggu 09.30–22.00  | Senin 09.30–22.00  | Selasa 09.30–22.00 ,Rp 25.000–50.000,-7.0592585,110.4378566,0851-3877-6559,,ramen
Nagoya Ramen & Sushi,"Jl. KH. Sirojudin No.22A, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Jepang,4.2,5,411.0,Rabu 09.00–21.00  | Kamis 09.00–21.00  | Jumat 09.00–21.00  | Sabtu 09.00–21.00  | Minggu 09.00–21.00  | Senin 09.00–21.00  | Selasa 09.00–21.00 ,Rp 1–25.000,-7.0571796,110.435635,0815-1602-220,,ramen
RAMENDOMI TEMBALANG,"Jl. Mulawarman Tim. Dalam No.78, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Toko Makanan Jepang,4.7,5,21.0,Rabu 15.00–23.00  | Kamis 15.00–23.00  | Jumat 15.00–23.00  | Sabtu 15.00–23.00  | Minggu 15.00–23.00  | Senin 15.00–23.00  | Selasa 15.00–23.00 ,Rp 1–25.000,-7.0687805,110.4442019,0822-2598-2098,,ramen
